Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Household Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,17019000401,IL,17019000401,17019000401,4476,2017-2021,2020,Census,Illinois (State)
Census Tract,17019000402,IL,17019000402,17019000402,3416,2017-2021,2020,Census,Illinois (State)
Census Tract,17019000500,IL,17019000500,17019000500,59701,2017-2021,2020,Census,Illinois (State)
Census Tract,17019000700,IL,17019000700,17019000700,39173,2017-2021,2020,Census,Illinois (State)
Census Tract,17019000800,IL,17019000800,17019000800,60946,2017-2021,2020,Census,Illinois (State)
Census Tract,17019000901,IL,17019000901,17019000901,39673,2017-2021,2020,Census,Illinois (State)
Census Tract,17019000902,IL,17019000902,17019000902,62228,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001000,IL,17019001000,17019001000,62457,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001100,IL,17019001100,17019001100,81941,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001201,IL,17019001201,17019001201,49476,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001203,IL,17019001203,17019001203,79570,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001204,IL,17019001204,17019001204,126013,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001205,IL,17019001205,17019001205,85141,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001206,IL,17019001206,17019001206,103125,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001301,IL,17019001301,17019001301,69591,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001302,IL,17019001302,17019001302,100655,2017-2021,2020,Census,Illinois (State)
Census Tract,17019001400,IL,17019001400,17019001400,59698,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005300,IL,17019005300,17019005300,21726,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005401,IL,17019005401,17019005401,35521,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005402,IL,17019005402,17019005402,59452,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005500,IL,17019005500,17019005500,59219,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005601,IL,17019005601,17019005601,48702,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005602,IL,17019005602,17019005602,49125,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005701,IL,17019005701,17019005701,44333,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005702,IL,17019005702,17019005702,124125,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005800,IL,17019005800,17019005800,63750,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005901,IL,17019005901,17019005901,N/A,2017-2021,2020,Census,Illinois (State)
Census Tract,17019005902,IL,17019005902,17019005902,14256,2017-2021,2020,Census,Illinois (State)
Census Tract,17019006000,IL,17019006000,17019006000,24104,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010100,IL,17019010100,17019010100,44938,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010204,IL,17019010204,17019010204,47421,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010300,IL,17019010300,17019010300,36409,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010400,IL,17019010400,17019010400,75993,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010500,IL,17019010500,17019010500,98407,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010601,IL,17019010601,17019010601,104141,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010603,IL,17019010603,17019010603,105124,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010604,IL,17019010604,17019010604,100871,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010701,IL,17019010701,17019010701,94484,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010702,IL,17019010702,17019010702,94648,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010800,IL,17019010800,17019010800,92929,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010901,IL,17019010901,17019010901,78368,2017-2021,2020,Census,Illinois (State)
Census Tract,17019010902,IL,17019010902,17019010902,74881,2017-2021,2020,Census,Illinois (State)
Census Tract,17019011001,IL,17019011001,17019011001,41948,2017-2021,2020,Census,Illinois (State)
Census Tract,17019011002,IL,17019011002,17019011002,66593,2017-2021,2020,Census,Illinois (State)
Census Tract,17019011100,IL,17019011100,17019011100,25663,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958100,IL,17021958100,17021958100,68125,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958200,IL,17021958200,17021958200,64737,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958300,IL,17021958300,17021958300,41690,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958400,IL,17021958400,17021958400,53889,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958500,IL,17021958500,17021958500,33399,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958600,IL,17021958600,17021958600,63641,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958700,IL,17021958700,17021958700,50724,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958800,IL,17021958800,17021958800,39816,2017-2021,2020,Census,Illinois (State)
Census Tract,17021958900,IL,17021958900,17021958900,50025,2017-2021,2020,Census,Illinois (State)
Census Tract,17021959000,IL,17021959000,17021959000,72115,2017-2021,2020,Census,Illinois (State)
Census Tract,17023060100,IL,17023060100,17023060100,90338,2017-2021,2020,Census,Illinois (State)
Census Tract,17023060200,IL,17023060200,17023060200,60119,2017-2021,2020,Census,Illinois (State)
Census Tract,17023060300,IL,17023060300,17023060300,47941,2017-2021,2020,Census,Illinois (State)
Census Tract,17023060400,IL,17023060400,17023060400,63333,2017-2021,2020,Census,Illinois (State)
Census Tract,17025971900,IL,17025971900,17025971900,58929,2017-2021,2020,Census,Illinois (State)
Census Tract,17025972000,IL,17025972000,17025972000,49109,2017-2021,2020,Census,Illinois (State)
Census Tract,17025972100,IL,17025972100,17025972100,51625,2017-2021,2020,Census,Illinois (State)
Census Tract,17025972200,IL,17025972200,17025972200,65769,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900100,IL,17027900100,17027900100,82530,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900200,IL,17027900200,17027900200,91591,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900300,IL,17027900300,17027900300,71795,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900401,IL,17027900401,17027900401,62031,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900403,IL,17027900403,17027900403,58797,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900404,IL,17027900404,17027900404,72857,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900500,IL,17027900500,17027900500,47833,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900601,IL,17027900601,17027900601,72139,2017-2021,2020,Census,Illinois (State)
Census Tract,17027900602,IL,17027900602,17027900602,87534,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000100,IL,17029000100,17029000100,54028,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000200,IL,17029000200,17029000200,68299,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000300,IL,17029000300,17029000300,47596,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000400,IL,17029000400,17029000400,31066,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000500,IL,17029000500,17029000500,43442,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000600,IL,17029000600,17029000600,72500,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000701,IL,17029000701,17029000701,80464,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000702,IL,17029000702,17029000702,33483,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000800,IL,17029000800,17029000800,25489,2017-2021,2020,Census,Illinois (State)
Census Tract,17029000900,IL,17029000900,17029000900,84327,2017-2021,2020,Census,Illinois (State)
Census Tract,17029001000,IL,17029001000,17029001000,41258,2017-2021,2020,Census,Illinois (State)
Census Tract,17029001100,IL,17029001100,17029001100,34935,2017-2021,2020,Census,Illinois (State)
Census Tract,17029001200,IL,17029001200,17029001200,51432,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010100,IL,17031010100,17031010100,60316,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010201,IL,17031010201,17031010201,43750,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010202,IL,17031010202,17031010202,45096,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010300,IL,17031010300,17031010300,60846,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010400,IL,17031010400,17031010400,43024,2017-2021,2020,Census,Illinois (State)
