"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","060830020084","CA","060830020084","=""060830020084""","693.36","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020085","CA","060830020085","=""060830020085""","233.35","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020091","CA","060830020091","=""060830020091""","867.70","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020092","CA","060830020092","=""060830020092""","936.10","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020093","CA","060830020093","=""060830020093""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020101","CA","060830020101","=""060830020101""","560.59","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020102","CA","060830020102","=""060830020102""","372.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020103","CA","060830020103","=""060830020103""","611.55","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020104","CA","060830020104","=""060830020104""","382.22","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020111","CA","060830020111","=""060830020111""","914.64","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020112","CA","060830020112","=""060830020112""","749.69","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020113","CA","060830020113","=""060830020113""","245.42","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020121","CA","060830020121","=""060830020121""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020122","CA","060830020122","=""060830020122""","1193.60","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020123","CA","060830020123","=""060830020123""","186.42","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020131","CA","060830020131","=""060830020131""","481.46","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830020132","CA","060830020132","=""060830020132""","297.73","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830021011","CA","060830021011","=""060830021011""","458.66","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830021012","CA","060830021012","=""060830021012""","331.26","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830021021","CA","060830021021","=""060830021021""","0.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830021022","CA","060830021022","=""060830021022""","278.95","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830021031","CA","060830021031","=""060830021031""","347.35","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830021032","CA","060830021032","=""060830021032""","258.84","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830021033","CA","060830021033","=""060830021033""","472.07","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022051","CA","060830022051","=""060830022051""","839.54","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022052","CA","060830022052","=""060830022052""","576.68","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022053","CA","060830022053","=""060830022053""","257.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022061","CA","060830022061","=""060830022061""","706.77","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022062","CA","060830022062","=""060830022062""","313.82","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022063","CA","060830022063","=""060830022063""","253.47","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022091","CA","060830022091","=""060830022091""","473.42","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022092","CA","060830022092","=""060830022092""","543.15","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022101","CA","060830022101","=""060830022101""","671.90","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022102","CA","060830022102","=""060830022102""","568.63","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022103","CA","060830022103","=""060830022103""","716.16","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022111","CA","060830022111","=""060830022111""","222.63","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022112","CA","060830022112","=""060830022112""","559.25","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022113","CA","060830022113","=""060830022113""","447.93","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830022114","CA","060830022114","=""060830022114""","696.04","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023031","CA","060830023031","=""060830023031""","324.55","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023032","CA","060830023032","=""060830023032""","580.70","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023033","CA","060830023033","=""060830023033""","447.93","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023034","CA","060830023034","=""060830023034""","501.58","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023035","CA","060830023035","=""060830023035""","379.54","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023041","CA","060830023041","=""060830023041""","387.58","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023042","CA","060830023042","=""060830023042""","356.74","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023043","CA","060830023043","=""060830023043""","253.47","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023044","CA","060830023044","=""060830023044""","603.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023051","CA","060830023051","=""060830023051""","575.34","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023052","CA","060830023052","=""060830023052""","519.01","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023053","CA","060830023053","=""060830023053""","320.53","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023054","CA","060830023054","=""060830023054""","343.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023061","CA","060830023061","=""060830023061""","126.07","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023062","CA","060830023062","=""060830023062""","288.34","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023063","CA","060830023063","=""060830023063""","484.14","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830023064","CA","060830023064","=""060830023064""","816.74","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024021","CA","060830024021","=""060830024021""","138.14","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024022","CA","060830024022","=""060830024022""","776.51","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024023","CA","060830024023","=""060830024023""","431.84","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024024","CA","060830024024","=""060830024024""","498.90","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024031","CA","060830024031","=""060830024031""","579.36","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024032","CA","060830024032","=""060830024032""","343.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024033","CA","060830024033","=""060830024033""","226.65","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024041","CA","060830024041","=""060830024041""","0.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024042","CA","060830024042","=""060830024042""","168.98","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024043","CA","060830024043","=""060830024043""","296.39","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830024044","CA","060830024044","=""060830024044""","431.84","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830025021","CA","060830025021","=""060830025021""","265.54","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830025022","CA","060830025022","=""060830025022""","543.15","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830025023","CA","060830025023","=""060830025023""","686.65","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830025024","CA","060830025024","=""060830025024""","140.82","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830026041","CA","060830026041","=""060830026041""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830026061","CA","060830026061","=""060830026061""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027021","CA","060830027021","=""060830027021""","787.24","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027022","CA","060830027022","=""060830027022""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027023","CA","060830027023","=""060830027023""","979.02","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027024","CA","060830027024","=""060830027024""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027025","CA","060830027025","=""060830027025""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027031","CA","060830027031","=""060830027031""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027032","CA","060830027032","=""060830027032""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027051","CA","060830027051","=""060830027051""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027052","CA","060830027052","=""060830027052""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027053","CA","060830027053","=""060830027053""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027061","CA","060830027061","=""060830027061""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027062","CA","060830027062","=""060830027062""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027063","CA","060830027063","=""060830027063""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027064","CA","060830027064","=""060830027064""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027065","CA","060830027065","=""060830027065""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027071","CA","060830027071","=""060830027071""","380.88","2021","2010","EPA Smart Location Database","California (State)"
