TYPE;FULLCODE;STATE;COUNTY;TRACT;BLOCK;PLACE;COUSUB;CONCITY;AIANNH;SHEETS
Block;360050016004001;36;005;16.00;4001;51000;08510;;;10
Block;360050016004002;36;005;16.00;4002;51000;08510;;;10
Block;360050016004003;36;005;16.00;4003;51000;08510;;;10
Block;360050016004004;36;005;16.00;4004;51000;08510;;;10
Block;360050016004005;36;005;16.00;4005;51000;08510;;;10
Block;360050016004006;36;005;16.00;4006;51000;08510;;;10
Block;360050016004007;36;005;16.00;4007;51000;08510;;;10
Block;360050016004008;36;005;16.00;4008;51000;08510;;;10
Block;360050016004009;36;005;16.00;4009;51000;08510;;;10
Block;360050016004010;36;005;16.00;4010;51000;08510;;;10
Block;360050019011000;36;005;19.01;1000;51000;08510;;;9
Block;360050019011001;36;005;19.01;1001;51000;08510;;;9
Block;360050019011002;36;005;19.01;1002;51000;08510;;;9
Block;360050019011003;36;005;19.01;1003;51000;08510;;;9
Block;360050019011004;36;005;19.01;1004;51000;08510;;;9
Block;360050019011005;36;005;19.01;1005;51000;08510;;;9
Block;360050019011006;36;005;19.01;1006;51000;08510;;;9
Block;360050019011007;36;005;19.01;1007;51000;08510;;;9
Block;360050019011008;36;005;19.01;1008;51000;08510;;;9
Block;360050019011009;36;005;19.01;1009;51000;08510;;;9
Block;360050019011010;36;005;19.01;1010;51000;08510;;;9
Block;360050019011011;36;005;19.01;1011;51000;08510;;;9
Block;360050019011012;36;005;19.01;1012;51000;08510;;;9
Block;360050019011013;36;005;19.01;1013;51000;08510;;;9
Block;360050019011014;36;005;19.01;1014;51000;08510;;;9
Block;360050019021000;36;005;19.02;1000;51000;08510;;;10
Block;360050019021001;36;005;19.02;1001;51000;08510;;;10
Block;360050019021002;36;005;19.02;1002;51000;08510;;;10
Block;360050019021003;36;005;19.02;1003;51000;08510;;;10
Block;360050019021004;36;005;19.02;1004;51000;08510;;;10
Block;360050019021005;36;005;19.02;1005;51000;08510;;;10
Block;360050019021006;36;005;19.02;1006;51000;08510;;;10
Block;360050019021007;36;005;19.02;1007;51000;08510;;;9,10
Block;360050019021008;36;005;19.02;1008;51000;08510;;;9,10
Block;360050019021009;36;005;19.02;1009;51000;08510;;;9,10
Block;360050019021010;36;005;19.02;1010;51000;08510;;;9,10
Block;360050019021011;36;005;19.02;1011;51000;08510;;;9
Block;360050019021012;36;005;19.02;1012;51000;08510;;;9,10
Block;360050019021013;36;005;19.02;1013;51000;08510;;;9,10
Block;360050019021014;36;005;19.02;1014;51000;08510;;;10
Block;360050019021015;36;005;19.02;1015;51000;08510;;;10
Block;360050019021016;36;005;19.02;1016;51000;08510;;;10
Block;360050019021017;36;005;19.02;1017;51000;08510;;;10
Block;360050019021018;36;005;19.02;1018;51000;08510;;;10
Block;360050019021019;36;005;19.02;1019;51000;08510;;;9,10
Block;360050019021020;36;005;19.02;1020;51000;08510;;;9,10
Block;360050019021021;36;005;19.02;1021;51000;08510;;;10
Block;360050019021022;36;005;19.02;1022;51000;08510;;;10
Block;360050019021023;36;005;19.02;1023;51000;08510;;;9
Block;360050019021024;36;005;19.02;1024;51000;08510;;;9
Block;360050019021025;36;005;19.02;1025;51000;08510;;;9
Block;360050019021026;36;005;19.02;1026;51000;08510;;;9
Block;360050019021027;36;005;19.02;1027;51000;08510;;;9
Block;360050019021028;36;005;19.02;1028;51000;08510;;;9
Block;360050019021029;36;005;19.02;1029;51000;08510;;;9
Block;360050019021030;36;005;19.02;1030;51000;08510;;;9
Block;360050019021031;36;005;19.02;1031;51000;08510;;;9
Block;360050019021032;36;005;19.02;1032;51000;08510;;;9
Block;360050019021033;36;005;19.02;1033;51000;08510;;;9
Block;360050019021034;36;005;19.02;1034;51000;08510;;;9
Block;360050019021035;36;005;19.02;1035;51000;08510;;;9
Block;360050019021036;36;005;19.02;1036;51000;08510;;;9
Block;360050019021037;36;005;19.02;1037;51000;08510;;;9
Block;360050019021038;36;005;19.02;1038;51000;08510;;;9
Block;360050019021039;36;005;19.02;1039;51000;08510;;;9
Block;360050019021040;36;005;19.02;1040;51000;08510;;;9
Block;360050019021041;36;005;19.02;1041;51000;08510;;;9
Block;360050019021042;36;005;19.02;1042;51000;08510;;;9
Block;360050019021043;36;005;19.02;1043;51000;08510;;;9,10
Block;360050019021044;36;005;19.02;1044;51000;08510;;;9
Block;360050019021045;36;005;19.02;1045;51000;08510;;;9
Block;360050019021046;36;005;19.02;1046;51000;08510;;;9
Block;360050019021047;36;005;19.02;1047;51000;08510;;;9
Block;360050019021048;36;005;19.02;1048;51000;08510;;;9
Block;360050019021049;36;005;19.02;1049;51000;08510;;;10
Block;360050019021050;36;005;19.02;1050;51000;08510;;;10
Block;360050019021051;36;005;19.02;1051;51000;08510;;;10
Block;360050019031000;36;005;19.03;1000;51000;08510;;;10
Block;360050019031001;36;005;19.03;1001;51000;08510;;;10
Block;360050019031002;36;005;19.03;1002;51000;08510;;;10
Block;360050019031003;36;005;19.03;1003;51000;08510;;;10
Block;360050019031004;36;005;19.03;1004;51000;08510;;;10
Block;360050019031005;36;005;19.03;1005;51000;08510;;;10
Block;360050019031006;36;005;19.03;1006;51000;08510;;;10
Block;360050019031007;36;005;19.03;1007;51000;08510;;;10
Block;360050019031008;36;005;19.03;1008;51000;08510;;;10
Block;360050019031009;36;005;19.03;1009;51000;08510;;;10
Block;360050019031010;36;005;19.03;1010;51000;08510;;;10
Block;360050019031011;36;005;19.03;1011;51000;08510;;;10
Block;360050019031012;36;005;19.03;1012;51000;08510;;;10
Block;360050019031013;36;005;19.03;1013;51000;08510;;;10
Block;360050019031014;36;005;19.03;1014;51000;08510;;;10
Block;360050019031015;36;005;19.03;1015;51000;08510;;;10
Block;360050019032000;36;005;19.03;2000;51000;08510;;;10
Block;360050019032001;36;005;19.03;2001;51000;08510;;;10
Block;360050019032002;36;005;19.03;2002;51000;08510;;;10
Block;360050019032003;36;005;19.03;2003;51000;08510;;;10
Block;360050019032004;36;005;19.03;2004;51000;08510;;;10
Block;360050019032005;36;005;19.03;2005;51000;08510;;;10
Block;360050019032006;36;005;19.03;2006;51000;08510;;;10
Block;360050019032007;36;005;19.03;2007;51000;08510;;;9,10
Block;360050019032008;36;005;19.03;2008;51000;08510;;;9,10
Block;360050019032009;36;005;19.03;2009;51000;08510;;;9,10
Block;360050019032010;36;005;19.03;2010;51000;08510;;;9,10
Block;360050019032011;36;005;19.03;2011;51000;08510;;;9
Block;360050019032012;36;005;19.03;2012;51000;08510;;;9
Block;360050019032013;36;005;19.03;2013;51000;08510;;;9
Block;360050019032014;36;005;19.03;2014;51000;08510;;;9
Block;360050019040001;36;005;19.04;0001;51000;08510;;;10
Block;360050019040002;36;005;19.04;0002;51000;08510;;;10
Block;360050019040003;36;005;19.04;0003;51000;08510;;;10,15
Block;360050019041000;36;005;19.04;1000;51000;08510;;;10
Block;360050019042000;36;005;19.04;2000;51000;08510;;;10
Block;360050020011000;36;005;20.01;1000;51000;08510;;;10
Block;360050020011001;36;005;20.01;1001;51000;08510;;;10
Block;360050020011002;36;005;20.01;1002;51000;08510;;;10
Block;360050020011003;36;005;20.01;1003;51000;08510;;;10
Block;360050020012000;36;005;20.01;2000;51000;08510;;;10
Block;360050020013000;36;005;20.01;3000;51000;08510;;;10
Block;360050020021000;36;005;20.02;1000;51000;08510;;;10
Block;360050020021001;36;005;20.02;1001;51000;08510;;;10
Block;360050020021002;36;005;20.02;1002;51000;08510;;;10
Block;360050020021003;36;005;20.02;1003;51000;08510;;;10
Block;360050020021004;36;005;20.02;1004;51000;08510;;;10
Block;360050020022000;36;005;20.02;2000;51000;08510;;;10
Block;360050020022001;36;005;20.02;2001;51000;08510;;;10
Block;360050020022002;36;005;20.02;2002;51000;08510;;;10
Block;360050020022003;36;005;20.02;2003;51000;08510;;;10
Block;360050020023000;36;005;20.02;3000;51000;08510;;;10
Block;360050020023001;36;005;20.02;3001;51000;08510;;;10
Block;360050020023002;36;005;20.02;3002;51000;08510;;;10
Block;360050023001000;36;005;23.00;1000;51000;08510;;;9
Block;360050023001001;36;005;23.00;1001;51000;08510;;;9
Block;360050023001002;36;005;23.00;1002;51000;08510;;;9
Block;360050023002000;36;005;23.00;2000;51000;08510;;;9
Block;360050023003000;36;005;23.00;3000;51000;08510;;;9
Block;360050024000001;36;005;24.00;0001;51000;08510;;;10
Block;360050024001000;36;005;24.00;1000;51000;08510;;;10
Block;360050024001001;36;005;24.00;1001;51000;08510;;;10
Block;360050024001002;36;005;24.00;1002;51000;08510;;;10
Block;360050024001003;36;005;24.00;1003;51000;08510;;;10
Block;360050024001004;36;005;24.00;1004;51000;08510;;;10
Block;360050024001005;36;005;24.00;1005;51000;08510;;;10
Block;360050024001006;36;005;24.00;1006;51000;08510;;;10
Block;360050024001007;36;005;24.00;1007;51000;08510;;;10
Block;360050024001008;36;005;24.00;1008;51000;08510;;;10
Block;360050024001009;36;005;24.00;1009;51000;08510;;;10
Block;360050025001000;36;005;25.00;1000;51000;08510;;;9
Block;360050025001001;36;005;25.00;1001;51000;08510;;;9
