"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06075045202","CA","06075045202","=""06075045202""","143164","2017-2021","2020","Census","California (State)"
"Census Tract","06075047600","CA","06075047600","=""06075047600""","141544","2017-2021","2020","Census","California (State)"
"Census Tract","06075047701","CA","06075047701","=""06075047701""","106705","2017-2021","2020","Census","California (State)"
"Census Tract","06075047702","CA","06075047702","=""06075047702""","103455","2017-2021","2020","Census","California (State)"
"Census Tract","06075047801","CA","06075047801","=""06075047801""","145568","2017-2021","2020","Census","California (State)"
"Census Tract","06075047802","CA","06075047802","=""06075047802""","101722","2017-2021","2020","Census","California (State)"
"Census Tract","06075047902","CA","06075047902","=""06075047902""","132583","2017-2021","2020","Census","California (State)"
"Census Tract","06075047903","CA","06075047903","=""06075047903""","135757","2017-2021","2020","Census","California (State)"
"Census Tract","06075047904","CA","06075047904","=""06075047904""","79514","2017-2021","2020","Census","California (State)"
"Census Tract","06075060100","CA","06075060100","=""06075060100""","218898","2017-2021","2020","Census","California (State)"
"Census Tract","06075060400","CA","06075060400","=""06075060400""","80733","2017-2021","2020","Census","California (State)"
"Census Tract","06075060502","CA","06075060502","=""06075060502""","34896","2017-2021","2020","Census","California (State)"
"Census Tract","06075060701","CA","06075060701","=""06075060701""","165718","2017-2021","2020","Census","California (State)"
"Census Tract","06075060702","CA","06075060702","=""06075060702""","N/A","2017-2021","2020","Census","California (State)"
"Census Tract","06075060703","CA","06075060703","=""06075060703""","183168","2017-2021","2020","Census","California (State)"
"Census Tract","06075061000","CA","06075061000","=""06075061000""","89125","2017-2021","2020","Census","California (State)"
"Census Tract","06075061101","CA","06075061101","=""06075061101""","17146","2017-2021","2020","Census","California (State)"
"Census Tract","06075061102","CA","06075061102","=""06075061102""","24656","2017-2021","2020","Census","California (State)"
"Census Tract","06075061200","CA","06075061200","=""06075061200""","89063","2017-2021","2020","Census","California (State)"
"Census Tract","06075061401","CA","06075061401","=""06075061401""","149396","2017-2021","2020","Census","California (State)"
"Census Tract","06075061402","CA","06075061402","=""06075061402""","160823","2017-2021","2020","Census","California (State)"
"Census Tract","06075061501","CA","06075061501","=""06075061501""","250001","2017-2021","2020","Census","California (State)"
"Census Tract","06075061502","CA","06075061502","=""06075061502""","106165","2017-2021","2020","Census","California (State)"
"Census Tract","06075061503","CA","06075061503","=""06075061503""","204620","2017-2021","2020","Census","California (State)"
"Census Tract","06075061504","CA","06075061504","=""06075061504""","241230","2017-2021","2020","Census","California (State)"
"Census Tract","06075061505","CA","06075061505","=""06075061505""","249901","2017-2021","2020","Census","California (State)"
