"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Amount Spent per Household on All Household Expenses","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","total_avg","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06059099238","CA","06059099238","=""06059099238""","91100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099239","CA","06059099239","=""06059099239""","92600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099240","CA","06059099240","=""06059099240""","71600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099241","CA","06059099241","=""06059099241""","65500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099242","CA","06059099242","=""06059099242""","80600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099243","CA","06059099243","=""06059099243""","73300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099244","CA","06059099244","=""06059099244""","68200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099245","CA","06059099245","=""06059099245""","85000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099246","CA","06059099246","=""06059099246""","84900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099247","CA","06059099247","=""06059099247""","68500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099248","CA","06059099248","=""06059099248""","61600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099249","CA","06059099249","=""06059099249""","63800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099250","CA","06059099250","=""06059099250""","78300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099251","CA","06059099251","=""06059099251""","64800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099305","CA","06059099305","=""06059099305""","67700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099306","CA","06059099306","=""06059099306""","67500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099307","CA","06059099307","=""06059099307""","71000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099308","CA","06059099308","=""06059099308""","102900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099309","CA","06059099309","=""06059099309""","75200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099310","CA","06059099310","=""06059099310""","77400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099311","CA","06059099311","=""06059099311""","76400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099402","CA","06059099402","=""06059099402""","63700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099404","CA","06059099404","=""06059099404""","89400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099405","CA","06059099405","=""06059099405""","79900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099406","CA","06059099406","=""06059099406""","74600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099407","CA","06059099407","=""06059099407""","76700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099408","CA","06059099408","=""06059099408""","81600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099410","CA","06059099410","=""06059099410""","61800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099411","CA","06059099411","=""06059099411""","66100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099412","CA","06059099412","=""06059099412""","71200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099415","CA","06059099415","=""06059099415""","90800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099416","CA","06059099416","=""06059099416""","72000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099417","CA","06059099417","=""06059099417""","76500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099418","CA","06059099418","=""06059099418""","55800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099419","CA","06059099419","=""06059099419""","91900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099502","CA","06059099502","=""06059099502""","64400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099504","CA","06059099504","=""06059099504""","85100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099506","CA","06059099506","=""06059099506""","74000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099508","CA","06059099508","=""06059099508""","67200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099509","CA","06059099509","=""06059099509""","50000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
