"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","060590756043","CA","060590756043","=""060590756043""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756044","CA","060590756044","=""060590756044""","3072","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756045","CA","060590756045","=""060590756045""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756051","CA","060590756051","=""060590756051""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756052","CA","060590756052","=""060590756052""","2281","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756053","CA","060590756053","=""060590756053""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756054","CA","060590756054","=""060590756054""","1887","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756055","CA","060590756055","=""060590756055""","2237","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756061","CA","060590756061","=""060590756061""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756062","CA","060590756062","=""060590756062""","3534","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756063","CA","060590756063","=""060590756063""","62177","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756064","CA","060590756064","=""060590756064""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756071","CA","060590756071","=""060590756071""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756072","CA","060590756072","=""060590756072""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756073","CA","060590756073","=""060590756073""","3502","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756074","CA","060590756074","=""060590756074""","3951","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590756075","CA","060590756075","=""060590756075""","884","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590757011","CA","060590757011","=""060590757011""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590757012","CA","060590757012","=""060590757012""","59255","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590757013","CA","060590757013","=""060590757013""","78793","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590757014","CA","060590757014","=""060590757014""","65819","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590757021","CA","060590757021","=""060590757021""","69438","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590757022","CA","060590757022","=""060590757022""","64994","2021","2010","EPA Smart Location Database","California (State)"
